Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
AC107241.1,8,0,0,0,14,7,0,0,8,6,0
MYOCOS,6,8,0,0,4,8,0,0,18,0,0
WTAPP1,8,0,0,8,22,28,0,0,2,0,0
AC135050.5,2,2,0,4,88,90,0,0,10,2,2
ENOX1,10,5,0,0,0,38,0,1,14,0,0
AL390208.1,10,5,0,0,20,5,0,0,0,0,0
AC107294.4,10,0,0,0,20,0,0,0,0,0,0
FAM156A,4,4,0,0,34,0,0,0,0,0,0
LINC01597,3,0,0,0,16,14,0,13,14,0,0
AC008063.1,10,0,0,0,11,16,0,0,6,14,0
AC107031.1,4,8,0,19,51,59,0,20,34,1,2
AC139887.4,14,0,0,0,10,2,0,0,0,0,0
RPL23AP97,0,13,0,0,4,12,0,4,27,0,0
VN1R108P,0,0,0,0,20,0,0,7,16,0,0
AC015660.4,4,4,0,0,16,12,0,0,12,0,0
AC023310.4,12,2,0,0,0,1,0,0,10,0,0
OR56B2P,0,4,0,0,34,2,0,0,6,0,0
GKN2,6,0,0,4,14,11,0,0,10,0,0
ARL13A,8,4,0,8,15,5,0,0,6,0,0
SUMO4,8,0,0,2,12,8,0,16,8,0,0
AC024941.2,4,0,0,2,24,1,0,10,6,6,0
AC110620.2,4,2,0,0,4,5,0,10,20,6,0
AC106791.3,12,0,0,0,14,2,0,0,0,0,0
AC017104.3,12,0,1,0,56,28,0,0,12,0,0
RTEL1,8,10,0,7,20,21,0,2,2,12,0
LINC01471,0,0,0,0,42,14,0,32,0,0,0
RPL39P38,3,10,0,0,6,9,0,0,20,0,0
AC108463.1,10,4,0,0,1,7,0,0,12,0,0
TBX20,8,4,0,0,20,4,0,0,2,0,0
AC007216.1,0,0,0,0,30,29,0,63,8,0,0
AC053527.2,6,4,0,4,20,14,0,0,5,8,0
AC010422.1,7,6,0,2,2,0,0,0,16,4,0
LINC02166,8,4,0,0,5,22,0,0,12,18,0
AL390755.3,10,0,0,0,6,10,0,0,8,0,0
AC092376.2,6,4,0,0,24,0,0,0,2,0,0
ATP8A2P3,0,0,0,4,8,0,0,0,23,0,0
AC099811.1,0,2,0,18,9,5,0,0,22,6,0
AL080313.2,0,0,0,4,38,22,0,0,2,0,0
AC104771.1,7,1,0,0,14,41,0,0,7,6,0
AC040160.1,0,1,0,1,32,6,0,0,6,0,0
AC019117.1,0,4,0,0,22,7,0,0,13,0,0
AL355355.1,7,10,0,2,4,39,0,7,14,10,0
AC099329.2,0,0,0,0,9,6,0,0,22,0,0
NR0B2,2,0,0,0,10,0,0,0,18,0,0
AC005332.7,4,0,0,6,31,78,0,0,0,0,0
AC063977.2,21,6,0,0,24,72,0,30,54,0,4
PROZ,4,1,0,0,22,10,0,1,6,4,0
USP44,2,6,0,0,4,28,0,0,22,0,0
SPDYC,6,0,0,0,6,4,0,2,14,0,0
AC000120.1,0,1,0,0,36,18,0,0,3,0,0
AL451054.2,0,0,0,0,0,0,0,0,28,0,0
AC068135.2,0,0,0,0,0,0,0,0,28,0,0
AC106818.2,0,2,0,14,40,10,0,0,0,0,0
AC055811.2,4,0,0,0,22,4,0,0,6,0,0
TRIB2,3,4,0,0,67,50,0,10,16,0,2
BNIP3P27,16,2,0,0,2,9,0,0,0,0,0
AC105052.5,4,3,0,0,27,28,0,0,2,3,0
AL354694.1,0,9,0,0,28,16,0,0,8,0,0
FAM157B,7,9,0,1,0,11,0,2,16,8,0
RNY1P16,4,0,0,0,7,4,0,0,16,0,0
AC005899.1,0,0,0,1,38,11,0,0,1,0,0
RN7SL81P,6,0,0,0,5,0,0,0,14,0,0
DHRS13,26,17,0,0,126,304,0,28,54,2,8
LBP,4,0,0,0,18,20,0,0,8,6,0
LINC02427,2,0,0,0,20,0,0,0,10,6,0
LINC02373,8,8,0,0,0,6,0,0,14,0,0
LINC02576,8,2,0,8,0,1,0,22,14,0,0
AC092960.3,8,11,0,0,17,22,0,34,2,6,0
GNG3,8,0,0,0,20,0,0,0,0,0,0
AC005592.2,4,0,0,0,12,0,0,18,12,0,0
C5orf60,2,4,0,0,34,31,0,0,0,0,0
AC135352.1,16,0,0,0,1,10,0,0,0,0,0
BX119904.1,6,8,0,2,10,20,0,0,10,3,0
FAM66D,0,0,0,3,20,8,0,0,13,0,0
AC090607.5,0,0,0,0,10,0,0,0,20,0,0
