"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TGFBI",28635.1185132719,14.8054979539625,0.160149677352164,92.4478787516112,0,0
"LAMP1",28480.9000000335,14.7977071159194,0.102811099182536,143.931027229335,0,0
"EDF1",28382.1557548033,14.7926965524098,0.312325294625133,47.3631076540395,0,0
"TPI1",28359.5380624586,14.791546412817,0.229047159319616,64.5786066797565,0,0
"FCGR2A",28314.6921026327,14.7892632214209,0.144468082841424,102.370453947633,0,0
"ITGAX",28164.2783878215,14.7815788875321,0.167092564504128,88.463415062176,0,0
"NPL",28148.2804219916,14.7807591703295,0.192457118938232,76.800272454839,0,0
"CALM1",27821.7133054187,14.7639236456238,0.174404073990628,84.6535479808639,0,0
"AHNAK",27802.1733846023,14.7629100469812,0.228608170742307,64.5773508402829,0,0
"LUC7L3",27738.1683309275,14.7595849030749,0.464287046450232,31.7897839621442,2.57351604306925e-193,6.42861226108535e-193
"SH3BGRL3",27687.9260352431,14.7569693721951,0.149913590491835,98.4365014791561,0,0
"SEC62",27645.0571291723,14.7547339326061,0.380878923488833,38.738646385191,7.05355189282066e-286,1.99253055245362e-285
"PSMA7",27494.2335181823,14.7468414473839,0.155184657147243,95.0277025994372,0,0
"MMP14",27333.8603714752,14.7384016061682,0.212318691535284,69.416411242902,0,0
"VCP",27246.4066754139,14.7337783557366,0.120964184696203,121.802816203325,0,0
"AKR1A1",27218.7692022659,14.7323142110521,0.119784743476031,122.989904920572,0,0
"GRINA",27167.4893558407,14.7295936266979,0.163610971902804,90.0281530962868,0,0
"PPIA",27079.1993965688,14.7248974654463,0.127783138031521,115.233493967053,0,0
"H3-3B",27011.7756175439,14.7213008579905,0.16645040887296,88.4425635098694,0,0
"CANX",26869.5297149528,14.7136834502923,0.199838625741943,73.6278254299669,0,0
"EEF1A1P5",26793.0442528716,14.7095708905171,0.360237365913174,40.8329959143175,0,0
"ANXA11",26616.0162697246,14.7000070327676,0.155889352817389,94.2976974828252,0,0
"PGD",26602.7297789984,14.6992866717631,0.109405016075247,134.356606297221,0,0
"IFNGR1",26516.7113133616,14.6946142384799,0.232114723525507,63.3075490226933,0,0
"RPL39P3",26366.6780889072,14.6864281985127,0.127598795655082,115.098486024995,0,0
"GAPDH",26312.0269862706,14.6834347725001,0.222421522479914,66.0162497261306,0,0
"AC024293.1",26309.9954421419,14.6833233781255,0.342074566202128,42.9243353025237,0,0
"ARPC5",26257.0665791549,14.6804181279167,0.090815174383123,161.651598729351,0,0
"MSN",26120.1839070692,14.6728774342011,0.0752148731229071,195.07946799597,0,0
"CALM2",26063.8073626874,14.6697602256218,0.147337474560365,99.5657097380987,0,0
"TXN",26002.6917748551,14.6663733570041,0.129252761679523,113.470483465326,0,0
"RPL36AL",25951.7301608971,14.6635431035407,0.264846298426715,55.3662376655726,0,0
"SLC25A6",25638.9206010693,14.6460479053024,0.16656986525408,87.9273563856331,0,0
"CALM3",25570.2740655683,14.6421800032075,0.211588547263136,69.2011935078801,0,0
"CXCL8",25182.9387032393,14.620159026594,0.375187729356971,38.9675831127295,7.4544542572395e-289,2.11257955411713e-288
"TUBA1A",25179.1022664201,14.6199392257965,0.350139630902653,41.7545971248859,0,0
"TIMP1",25097.9787958714,14.615283564499,0.218839986672477,66.7852515745794,0,0
"SDCBP",25053.1430377268,14.6127039873809,0.241446281328193,60.5215533119691,0,0
"DAB2",25031.7867022029,14.6114736499769,0.168291557422826,86.8223805978938,0,0
"CAPZB",24999.4892630822,14.609611000631,0.111963690120459,130.485258077086,0,0
"COX6B1",24913.3592910533,14.6046319457201,0.235324678134033,62.0616250770002,0,0
"MPEG1",24844.5738490394,14.6006431755671,0.142578913370029,102.403944808267,0,0
"ATP6V0E1",24764.717300153,14.5959985316344,0.0997810753610648,146.280228779032,0,0
"SCD",24492.7783356105,14.5800688146869,0.153822240209495,94.7851805748626,0,0
"MS4A6A",24351.4432542718,14.571719659622,0.287114861392524,50.752230619301,0,0
"TIMP3",24181.8297895406,14.5616357940463,0.206832732114288,70.4029562690303,0,0
"CPVL",24157.0527528721,14.5601568309764,0.107091164588612,135.960393062386,0,0
"PSMB4",24145.6200650072,14.559473892272,0.118685259146623,122.672975540166,0,0
"PILRA",24138.6792081964,14.5590591181148,0.0875499077607604,166.294396995814,0,0
"ACADVL",24095.3409857624,14.5564665971033,0.122117027151356,119.200957775213,0,0
"NFKBIA",23817.0165900411,14.5397050866088,0.230515887053187,63.0746334774491,0,0
"CD99",23685.0347602025,14.5316881687723,0.144605339448617,100.492058067717,0,0
"TPM3",23646.0634616822,14.5293124067921,0.117620142130745,123.527417528892,0,0
"AP1B1",23636.5734223452,14.5287332837239,0.13630831205472,106.587287779571,0,0
"ARRB2",23601.7204668634,14.5266044094138,0.140338824780377,103.510945258001,0,0
"NAGK",23535.1328863669,14.5225283784853,0.0855358640227167,169.78291555725,0,0
"SNORD3A",23478.9226441331,14.5190785898873,0.786147177178309,18.4686519412308,1.40726318306738e-66,2.8971659415539e-66
"S100A9",23222.4753924556,14.5032341435736,0.262906676399973,55.1649518459132,0,0
"ANXA2P2",23150.0823057496,14.4987297022741,0.228870391205252,63.3490842826914,0,0
"HNRNPA2B1",23129.4885080011,14.4974457417134,0.185786800438511,78.0327004259461,0,0
"ATP5F1A",23090.2525192517,14.4949963303263,0.0830329506534132,174.569206757804,0,0
"CSDE1",23025.2514294048,14.4909292897846,0.0866033901566976,167.325196664532,0,0
"TKT",22992.8784966041,14.4888994690427,0.129247468361842,112.10199822622,0,0
"SARAF",22971.646874461,14.4875666691102,0.090961457741153,159.271487384659,0,0
"RTN4",22948.0480904201,14.4860838259977,0.184691121004061,78.4341106775737,0,0
"FOLR2",22912.0812523332,14.4838208934536,0.142710448781894,101.490963115037,0,0
"PLEKHO2",22782.7248283293,14.475652684156,0.163239298495796,88.6774987245414,0,0
"EIF3K",22771.8353209495,14.4749629512931,0.251666442840767,57.5164602316552,0,0
"CLTC",22508.6641671178,14.4581928185423,0.0858603985199973,168.391867121079,0,0
"YWHAZ",22294.369511236,14.4443917801039,0.121253415179862,119.125649027516,0,0
"RAC1",22255.2319671976,14.4418569176877,0.180119863716698,80.1791463733429,0,0
